"","name","pubpriv","reported"
"1","AGUA DULCE ELEMENTARY","PUBLIC","Y"
"2","MEADOWLARK ELEMENTARY","PUBLIC","Y"
"3","CALIFORNIA SCHOOL FOR THE DEAF-FREMONT","PUBLIC","Y"
"4","HIDDEN VALLEY ELEMENTARY","PUBLIC","Y"
"5","MANOR ELEMENTARY","PUBLIC","Y"
"6","BROOKSIDE ELEMENTARY","PUBLIC","Y"
"7","WADE THOMAS ELEMENTARY","PUBLIC","Y"
"8","CALIFORNIA SCHOOL FOR THE DEAF-RIVERSIDE","PUBLIC","Y"
"9","CUYAMA ELEMENTARY","PUBLIC","Y"
"10","SIERRA PRIMARY","PUBLIC","Y"
"11","GRIZZLY HILL","PUBLIC","Y"
"12","RUHKALA ELEMENTARY","PUBLIC","Y"
"13","ROCKLIN ACADEMY AT MEYERS STREET","PUBLIC","Y"
"14","MARIA MONTESSORI CHARTER ACADEMY","PUBLIC","Y"
"15","SUNSET RANCH ELEMENTARY","PUBLIC","Y"
"16","PARKER WHITNEY ELEMENTARY","PUBLIC","Y"
"17","ROCKLIN ELEMENTARY","PUBLIC","Y"
"18","COBBLESTONE ELEMENTARY","PUBLIC","Y"
"19","ANTELOPE CREEK ELEMENTARY","PUBLIC","Y"
"20","BREEN ELEMENTARY","PUBLIC","Y"
"21","TWIN OAKS ELEMENTARY","PUBLIC","Y"
"22","ROCKLIN ACADEMY","PUBLIC","Y"
"23","VALLEY VIEW ELEMENTARY","PUBLIC","Y"
"24","SIERRA ELEMENTARY","PUBLIC","Y"
"25","ROCK CREEK ELEMENTARY","PUBLIC","Y"
"26","CYPRESS SCHOOL OF THE ARTS","PUBLIC","Y"
"27","PATHWAYS TO COLLEGE","PUBLIC","Y"
"28","MISSION CREST ELEMENTARY","PUBLIC","Y"
"29","LAVERNE ELEMENTARY PREPARATORY ACADEMY","PUBLIC","Y"
"30","KRYSTAL SCHOOL OF SCIENCE, MATH & TECHNOLOGY","PUBLIC","Y"
"31","JOSHUA CIRCLE ELEMENTARY","PUBLIC","Y"
"32","JUNIPER ELEMENTARY","PUBLIC","Y"
"33","EUCALYPTUS ELEMENTARY","PUBLIC","Y"
"34","MESA GRANDE ELEMENTARY","PUBLIC","Y"
"35","KINGSTON ELEMENTARY","PUBLIC","Y"
"36","MAPLE ELEMENTARY","PUBLIC","Y"
"37","COTTONWOOD ELEMENTARY","PUBLIC","Y"
"38","LIME STREET ELEMENTARY","PUBLIC","Y"
"39","HOLLYVALE ELEMENTARY","PUBLIC","Y"
"40","CARMEL ELEMENTARY","PUBLIC","Y"
"41","TOPAZ PREPARATORY ACADEMY","PUBLIC","Y"
"42","MESQUITE TRAILS ELEMENTARY","PUBLIC","Y"
"43","SKY MOUNTAIN CHARTER","PUBLIC","Y"
"44","LUCERNE VALLEY ELEMENTARY","PUBLIC","Y"
"45","BALDY VIEW ELEMENTARY","PUBLIC","Y"
"46","CABRILLO ELEMENTARY","PUBLIC","Y"
"47","CITRUS ELEMENTARY","PUBLIC","Y"
"48","FOOTHILL KNOLLS ELEMENTARY","PUBLIC","Y"
"49","MAGNOLIA ELEMENTARY","PUBLIC","Y"
"50","SIERRA VISTA ELEMENTARY","PUBLIC","Y"
"51","SYCAMORE ELEMENTARY","PUBLIC","Y"
"52","UPLAND ELEMENTARY","PUBLIC","Y"
"53","VALENCIA ELEMENTARY","PUBLIC","Y"
"54","PEPPER TREE ELEMENTARY","PUBLIC","Y"
"55","VANGUARD PREPARATORY","PUBLIC","Y"
"56","SITTING BULL ACADEMY","PUBLIC","Y"
"57","PHOENIX ACADEMY","PUBLIC","Y"
"58","ACADEMY FOR ACADEMIC EXCELLENCE","PUBLIC","Y"
"59","MARIANA ACADEMY","PUBLIC","Y"
"60","RANCHO VERDE ELEMENTARY","PUBLIC","Y"
"61","YUCCA LOMA ELEMENTARY","PUBLIC","Y"
"62","DESERT KNOLLS ELEMENTARY","PUBLIC","Y"
"63","SANDIA ELEMENTARY","PUBLIC","Y"
"64","RIO VISTA ELEMENTARY","PUBLIC","Y"
"65","SYCAMORE ROCKS ELEMENTARY","PUBLIC","Y"
"66","HAYFORK VALLEY ELEMENTARY","PUBLIC","Y"
"67","JOHN GREEN ELEMENTARY","PUBLIC","Y"
"68","HAROLD WILLIAM KOLB","PUBLIC","Y"
"69","DUBLIN ELEMENTARY","PUBLIC","Y"
"70","FREDERIKSEN ELEMENTARY","PUBLIC","Y"
"71","MURRAY ELEMENTARY","PUBLIC","Y"
"72","JAMES DOUGHERTY ELEMENTARY","PUBLIC","Y"
"73","DONLON ELEMENTARY","PUBLIC","Y"
"74","LYDIKSEN ELEMENTARY","PUBLIC","Y"
"75","ALISAL ELEMENTARY","PUBLIC","Y"
"76","FAIRLANDS ELEMENTARY","PUBLIC","Y"
